Date,Bike_Model,Failure_Type,Bike_Mileage,Severity,Repair_Cost
2024-01-01,Hero Splendor,Wear-out,18585,High,1093
2024-01-01,Honda Shine,Wear-out,3439,High,545
2024-01-01,Bajaj Pulsar,Noise,42560,Low,1206
2024-01-01,Hero Splendor,Overheating,33921,Medium,755
2024-01-01,Honda Shine,Reduced Braking,42682,Low,1451
2024-01-02,Honda Shine,Noise,37766,Low,904
2024-01-02,TVS Apache,Wear-out,35061,Low,397
2024-01-02,TVS Apache,Noise,23740,High,1465
2024-01-02,Honda Shine,Wear-out,22906,Low,1339
2024-01-02,TVS Apache,Noise,49707,Medium,506
2024-01-03,Bajaj Pulsar,Noise,35776,High,856
2024-01-03,Bajaj Pulsar,Overheating,38041,High,1012
2024-01-03,Bajaj Pulsar,Overheating,36890,High,1211
2024-01-03,Honda Shine,Overheating,40396,Low,245
2024-01-03,Bajaj Pulsar,Noise,47737,Medium,1408
2024-01-03,TVS Apache,Wear-out,33530,Low,1220
2024-01-03,Bajaj Pulsar,Noise,48839,Low,931
2024-01-03,Hero Splendor,Wear-out,38750,Medium,1330
2024-01-03,Bajaj Pulsar,Noise,29907,High,1454
2024-01-03,Honda Shine,Wear-out,4181,High,1026
2024-01-04,Honda Shine,Overheating,33354,Medium,522
2024-01-04,TVS Apache,Reduced Braking,49585,Low,1055
2024-01-04,Hero Splendor,Vibration,26054,Medium,894
2024-01-04,Honda Shine,Reduced Braking,47050,Low,565
2024-01-04,Hero Splendor,Noise,43998,High,1010
2024-01-04,Hero Splendor,Overheating,44769,Medium,410
2024-01-04,Honda Shine,Reduced Braking,26583,Medium,1310
2024-01-05,Hero Splendor,Overheating,5643,Medium,456
2024-01-05,Honda Shine,Reduced Braking,22026,Medium,1360
2024-01-05,Hero Splendor,Noise,45453,Medium,395
2024-01-05,Bajaj Pulsar,Vibration,36421,High,902
2024-01-05,Hero Splendor,Noise,43051,High,1141
2024-01-06,TVS Apache,Vibration,40909,Medium,1427
2024-01-06,TVS Apache,Reduced Braking,35964,Medium,578
2024-01-06,Hero Splendor,Wear-out,20693,Low,1420
2024-01-07,Hero Splendor,Vibration,19443,High,1268
2024-01-07,Honda Shine,Noise,43036,Medium,1427
2024-01-07,Bajaj Pulsar,Vibration,4411,High,1423
2024-01-08,Honda Shine,Wear-out,10429,Low,247
2024-01-08,Honda Shine,Reduced Braking,7533,Low,607
2024-01-08,Bajaj Pulsar,Vibration,47689,High,977
2024-01-08,Honda Shine,Wear-out,23585,Low,945
2024-01-09,Bajaj Pulsar,Overheating,27185,Low,930
2024-01-09,Hero Splendor,Noise,23909,High,356
2024-01-09,Honda Shine,Reduced Braking,21358,Medium,1314
2024-01-09,Bajaj Pulsar,Noise,20992,Medium,902
2024-01-09,Honda Shine,Wear-out,36089,High,866
2024-01-09,TVS Apache,Vibration,8925,Medium,971
2024-01-10,Hero Splendor,Noise,8475,Low,795
2024-01-10,Bajaj Pulsar,Noise,42573,Low,1161
2024-01-10,Bajaj Pulsar,Reduced Braking,21074,Low,756
2024-01-10,Bajaj Pulsar,Vibration,41945,Low,444
2024-01-11,Hero Splendor,Vibration,43576,Low,417
2024-01-11,Hero Splendor,Overheating,49699,High,518
2024-01-11,Bajaj Pulsar,Noise,36750,Medium,1125
2024-01-11,Hero Splendor,Overheating,49630,Low,344
2024-01-11,Honda Shine,Overheating,31337,High,1380
2024-01-11,TVS Apache,Wear-out,23496,Low,1072
2024-01-11,Hero Splendor,Wear-out,37528,High,268
2024-01-11,Honda Shine,Noise,31770,Low,1024
2024-01-12,Honda Shine,Vibration,28431,Low,689
2024-01-12,Bajaj Pulsar,Reduced Braking,25501,High,256
2024-01-12,Honda Shine,Noise,29988,Medium,270
2024-01-12,TVS Apache,Wear-out,16141,High,624
