Date,Machine_ID,Production_Count,Defective_Count,Downtime_Minutes
2024-01-01,M1,995,54,27
2024-01-01,M2,955,45,12
2024-01-01,M3,1080,43,22
2024-01-01,M4,1139,15,28
2024-01-02,M1,1325,34,17
2024-01-02,M2,1342,30,16
2024-01-02,M3,1340,47,26
2024-01-02,M4,1079,42,15
2024-01-03,M1,1175,43,20
2024-01-03,M2,1404,17,17
2024-01-03,M3,1204,30,17
2024-01-03,M4,1272,26,15
2024-01-04,M1,961,59,15
2024-01-04,M2,1156,54,23
2024-01-04,M3,956,31,18
2024-01-04,M4,913,31,9
2024-01-05,M1,1282,43,17
2024-01-05,M2,1007,58,18
2024-01-05,M3,1216,60,13
2024-01-05,M4,906,59,19
2024-01-06,M1,1367,17,11
2024-01-06,M2,892,51,26
2024-01-06,M3,1465,10,11
2024-01-06,M4,1002,23,15
2024-01-07,M1,1304,37,16
2024-01-07,M2,1466,45,10
2024-01-07,M3,1408,39,24
2024-01-07,M4,1181,23,12
2024-01-08,M1,946,54,6
2024-01-08,M2,963,52,6
2024-01-08,M3,1458,16,13
2024-01-08,M4,1096,27,29
2024-01-09,M1,1181,14,22
2024-01-09,M2,850,18,11
2024-01-09,M3,1279,59,18
2024-01-09,M4,1327,27,11
2024-01-10,M1,887,20,10
2024-01-10,M2,916,31,26
2024-01-10,M3,945,45,11
2024-01-10,M4,1190,41,13
2024-01-11,M1,893,51,28
2024-01-11,M2,1314,30,10
2024-01-11,M3,1360,40,13
2024-01-11,M4,860,54,7
2024-01-12,M1,822,25,15
2024-01-12,M2,1115,14,16
2024-01-12,M3,819,13,27
2024-01-12,M4,1286,18,27
2024-01-13,M1,1005,15,18
2024-01-13,M2,1247,41,19
2024-01-13,M3,1282,54,9
2024-01-13,M4,1487,11,7
2024-01-14,M1,1349,36,10
2024-01-14,M2,1143,47,9
2024-01-14,M3,892,15,16
2024-01-14,M4,871,28,24
2024-01-15,M1,1364,53,24
2024-01-15,M2,1183,18,5
2024-01-15,M3,1033,32,9
2024-01-15,M4,1284,19,27
2024-01-16,M1,1294,29,14
2024-01-16,M2,1462,56,30
2024-01-16,M3,1233,12,19
2024-01-16,M4,936,11,15
2024-01-17,M1,1230,58,25
2024-01-17,M2,1446,24,27
2024-01-17,M3,1159,13,10
2024-01-17,M4,1009,31,18
2024-01-18,M1,866,42,21
2024-01-18,M2,819,58,16
