Date,Region,Dealer_ID,Units_Sold,Revenue,Returns
2024-01-01,North,D105,141,34686,6
2024-01-01,South,D104,466,72696,8
2024-01-01,East,D104,368,68816,4
2024-01-01,West,D105,326,70416,5
2024-01-02,North,D101,425,97325,4
2024-01-02,South,D104,343,80262,3
2024-01-02,East,D102,383,67791,2
2024-01-02,West,D101,106,19398,5
2024-01-03,North,D103,373,61172,5
2024-01-03,South,D103,428,64628,5
2024-01-03,East,D103,140,29540,10
2024-01-03,West,D104,447,85824,3
2024-01-04,North,D101,361,61370,1
2024-01-04,South,D104,156,32292,1
2024-01-04,East,D104,193,41881,9
2024-01-04,West,D101,222,53280,5
2024-01-05,North,D105,485,108155,10
2024-01-05,South,D105,252,52416,6
2024-01-05,East,D105,274,45484,1
2024-01-05,West,D104,112,20832,2
2024-01-06,North,D102,264,56760,10
2024-01-06,South,D104,428,92876,0
2024-01-06,East,D105,147,24696,0
2024-01-06,West,D105,279,42966,3
2024-01-07,North,D101,248,37696,2
2024-01-07,South,D102,194,37636,6
2024-01-07,East,D103,419,65783,4
2024-01-07,West,D102,234,46332,2
2024-01-08,North,D101,357,82110,7
2024-01-08,South,D104,211,42411,0
2024-01-08,East,D101,387,62694,8
2024-01-08,West,D101,180,44820,5
2024-01-09,North,D105,466,84812,8
2024-01-09,South,D102,215,43860,5
2024-01-09,East,D101,139,32526,4
2024-01-09,West,D103,315,48510,6
2024-01-10,North,D103,208,34944,0
2024-01-10,South,D101,378,74088,2
2024-01-10,East,D104,357,81039,9
2024-01-10,West,D104,116,19488,2
2024-01-11,North,D101,100,21300,4
2024-01-11,South,D102,256,60160,1
2024-01-11,East,D104,189,43281,6
2024-01-11,West,D104,292,46428,7
2024-01-12,North,D104,412,65096,3
2024-01-12,South,D105,461,83902,6
2024-01-12,East,D102,358,65156,1
2024-01-12,West,D105,213,34932,3
2024-01-13,North,D102,205,39770,3
2024-01-13,South,D102,181,44164,3
2024-01-13,East,D104,102,21012,9
2024-01-13,West,D103,487,97887,6
2024-01-14,North,D102,339,65427,10
2024-01-14,South,D101,114,20634,9
2024-01-14,East,D103,456,89832,10
2024-01-14,West,D104,384,74880,9
2024-01-15,North,D103,161,35420,7
2024-01-15,South,D105,486,98658,10
2024-01-15,East,D105,430,70090,7
2024-01-15,West,D101,285,46740,7
2024-01-16,North,D102,490,88690,7
2024-01-16,South,D101,401,64561,6
2024-01-16,East,D102,175,32550,5
2024-01-16,West,D103,195,40170,5
2024-01-17,North,D104,324,59292,10
2024-01-17,South,D103,143,25311,3
2024-01-17,East,D102,333,56610,4
